Title,Author,year
"Three Parameters of Urban K-8 Education during Pre- and Post-COVID-19 Restrictions: Comparison of Students of Slums, Tin-Sheds, and Flats in Bangladesh","Alam, Gazi Mahabubul; Parvin, Morsheda",2023
Interactive Instructor for a Synergistic Student-Centered and Personalized Teaching: A Biosocial Approach,"Ahmed, Idris Adewale; Mikail, Maryam Abimbola",2023
The Impact of Principals' Distributed Leadership Behaviors on Teachers' Attitudes toward Multiculturalism: Social Justice Leadership as Mediator,"Sonmez, Elif Dasci; Gokmenoglu, Tuba",2023
A Thematic Analysis of the Reported Effect Anxiety Has on University Students,"Ladejo, Jacquelyne",2023
"""I Do Not Speak as Freely"": Gendered Views on Campus Carry at a Research University","Somers, Pat; Gao, Huajian; Taylor, Z. W.",2023
Reconstructing Urban Schools with Work-centered Education,"Grubb, W. Norton",1995
School-Based Management as a Vehicle for School Reform,"Hess, G. Alfred, Jr.",1994
Educational Assessment's Lurking Lacuna: The Measurement of Affect,"Popham, W. James",1994
Perspective and Suitable Research Area in Public Research-Patent Analysis of the Czech Public Universities,"Marešová, Petra; Soukal, Ivan; Stemberkova, Ruzena; Selamat, Ali",2022
Peer Influences on the College-Going Decisions of Low Socioeconomic Status Urban Youth,"Sokatch, Andrew",2006
Perspectives from Pre-Service Mathematics and Science Teachers in an Urban Residency Program: Characteristics of Effective Mentors,"Garza, Rubén; Harter, Rod A.",2016
College Learning from Classrooms to the Internet: Adoption of the YouTube as Supplementary Tool in COVID-19 Pandemic Environment,"Liu, Dawei; Luo, Jinlin",2022
Equity-Centered Instructional Adaptations in High-Poverty Schools,"Seeger, Chris; Parsons, Seth; View, Jenice L.",2022
Charter Schools and The Law: Emerging Issues,"Russo, Charles J.; Massucci, Joseph D.",1999
School Uniforms and Safety,"Stanley, M. Sue",1996
Religion and the Politics of Education: An Introduction,"Layton, Donald H.",1996
Building Assessment Cultures: Teacher Perceptions and School Environments,"Schwager, Mahna T.; Carlson, Jerry S.",1994
"""This Is Your Worth"": Is the Catholic School Advantage in Urban Catholic Schools' College Culture Disappearing in a Neoliberal Era?","Rodriguez, Paul J.; Briscoe, Felecia",2019
National Overview of Alternative Teacher Certification,"Feistritzer, C. Emily",1993
"African American Males' Decisions to Teach: Barriers, Motivations, and Supports Necessary for Completing a Teacher Preparation Program","Wallace, Denelle L.; Gagen, Linda M.",2020
Urban Schooling and Social Integration of Ethnic Migrant Students in China,"Wang, Tao",2021
"Latino Population Growth, Socioeconomic and Demographic Characteristics, and Implications for Educational Attainment","Chapa, Jorge; De La Rosa, Belinda",2004
"Colorin, Colorado, Este Cuento Todavia No Se Ha Acabado: And We Do Not Know Yet If They Lived Happily Ever After","Shannon, Sheila M.",1996
"""Exclusionary Discipline and School Crime: Do Suspensions Make Schools Safer?""","Gerlinger, Julie",2022
A School-University Partnership Working toward the Restructure of an Urban School and Community,"Zetlin, Andrea G.; MacLeod, Elaine",1995
Wesley Elementary: A Beacon of Hope for At-Risk Students,"Pollard-Durodola, Sharolyn",2003
The Dynamic Demographic Mosaic Called America: Implications for Education,"Estrada, Leobardo F.",1993
Mentoring Mathematics and Science Preservice Teachers for Urban Bilingual Classrooms,"Austin, Theresa; Fraser-Abder, Pamela",1995
Triggering Change: An Investigation of the Logics of Turnaround Leadership,"Woulfin, Sarah L.; Weiner, Jennie",2019
Community Influences on E/BD Student Achievement,"Madyun, Na'im; Lee, Moosung",2008
Culturally Responsive Teaching in Urban Secondary Schools,"Tanase, Madalina F.",2022
Teachers as Exemplars: An Australian Perspective,"Stewart, Douglas J.",2006
Cities in Schools: Supporting School Safety through Services to At-Risk Youth,"Morley, Elaine; Rossman, Shelli B.",1996
School Leadership Development: An Introduction,"Hallinger, Philip",1992
Resilience and Persistence of African-American Males in Postsecondary Enrollment,"Wilson-Sadberry, Karen R.; And Others",1991
Urban Teen Summit: A Community and School Collaboration for Developing Student Leaders of Color,"Scott, Lawrence; Kearney, W. Sean; Druery, Donna; Pingue, Ashland",2022
People of Faith as Political Activists in Public Schools,"McCarthy, Martha M.",1996
The Ins and Outs of Homeschooling: The Determinants of Parental Motivations and Student Achievement,"Collom, Ed",2005
"Racial Desegregation: Magnet Schools, Vouchers, Privatization, and Home Schooling","Meeks, Loretta F.; Meeks, Wendell A.; Warren, Claudia A.",2000
Improving Student Behavior and School Discipline with Family and Community Involvement,"Sheldon, Steven B.; Epstein, Joyce L.",2002
"Policy, Behavior, and Research: Changing Schooling for Homeless Children and Youth","First, Patricia F.; Oakley, Joye L.",1993
Teacher Educators' and Student Teachers' Beliefs about Preparation for Working with Families Including Those from Diverse Socioeconomic and Cultural Backgrounds,"D'Haem, Jeanne; Griswold, Peter",2017
The Washington Education Association Responds to School Violence: A Two-Pronged Approach,"Painter, Jerry",1999
Contestation and Accommodation in Parental Narratives,"Gonzalez, Norma",1996
Introduction,"Rossman, Shelli B.; Morley, Elaine",1996
Teacher Survival: A Cox Regression Model,"Adams, Gerald J.; Dial, Micah",1993
A Sociocultural Perspective on Acculturation,"Monzo, Lilia D.; Rueda, Robert",2006
Privatizing Schooling for Handicapped and Chapter I Children,"Pittillo, Robert A.",1995
The Effectiveness of an After-School Program Targeting Urban African American Youth,"Hanlon, Thomas E.; Simon, Betsy D.; O'Grady, Kevin E.; Carswell, Steven B.; Callaman, Jason M.",2009
Gifted Education: Robin Hood or the Sheriff of Nottingham?,"Yeung, Ryan",2014
Changing Faces: Suburban School Response to Demographic Change,"Evans, Andrea E.",2007
"The Children of Immigrants' Academic Self-Efficacy: The Significance of Gender, Race, Ethnicity, and Segmented Assimilation","Bondy, Jennifer M.; Peguero, Anthony A.; Johnson, Brent E.",2017
"Social Traditionalists, Religious Conservatives, and the Politics of Outcome-Based Education: Pennsylvania and Beyond","Boyd, William Lowe; And Others",1996
Curriculum and Instruction: Revision for Constant Relevancy,"Garcia, Eugene E.",1993
Sociocultural Boundary Formations in College Life and Intercultural Capital Development,"Oikonomidoy, Eleni",2015
Reframing the Past in the Present: Chicana Teacher Role Identity as a Bridging Identity,"Galindo, Rene",1996
Problems and Issues Facing the National Standards Project in English,"Myers, Miles",1994
Fostering College Readiness: An Ethnography of a Latina/o Afterschool Program,"Tichavakunda, Antar A.",2019
The Contextual Difference: Developing Preservice Teacher Efficacy through Immersive Learning Experiences,"Thomas, Kendra E.; Mucherah, Winnie M.",2016
Mentorships: Transferable Transactions among Teachers,"Bey, Theresa M.",1995
Rethinking School Partnerships,"Edens, Retha; Gilsinan, James F.",2005
The Curious Case of Kiryas Joel: Governmental Accommodation or Capitulation?,"Purrington, Gordon S.; Layton, Donald H.",1996
From Access to Success: Public Policy for Educating Urban Homeless Students,"Stronge, James H.",1993
Modeling and Mentoring in Urban Teacher Preparation,"Gay, Geneva",1995
"Service Learning: An Introduction to Its Theory, Practice, and Effects","Kraft, Richard J.",1996
Examining the Structures that Impact English Language Learners' Agency in Urban High Schools: Resources and Roadblocks in the Classroom,"Wassell, Beth A.; Hawrylak, Maria Fernandez; LaVan, Sarah-Kate",2010
Career Academies as a Professionally Engaging and Supportive Teaching Experience,"Orr, Margaret",2005
The New Vocationalism in Urban School Reform,"Ramsey, Kimberly A.",1995
What Teachers Learn in High School: Professional Development and the Redesign of Vocational Education,"Little, Judith Warren",1995
Obama's Education Plan: The Theory of Action behind Turning Around America's Worst Schools,"Rogers-Chapman, M. Felicity",2015
Who Is Prepared to Teach in Urban Schools?,"Stoddart, Trish",1993
Change in the Educational Life of Chicano Families across Three Generations,"Villanueva, Irene",1996
Reaching the Hard to Reach: Educating Homeless Adolescents in Urban Settings,"Powers, Jane L.; Jaklitsch, Barbara",1993
Critical Issues in Implementing a Comprehensive Violence Prevention Program for Middle Schools. Translating Theory into Practice,"Orphinas, Pamela; And Others",1996
The Development of Local School Councils,"Easton, John Q.; Storey, Sandra L.",1994
Privatization of Public School Services,"Brown, Frank; Hunter, Richard C.",1995
Changing Past Student Discipline Practices to Create a District-Wide Discipline Plan,"Green, Judith A.",2009
Beyond the Rhetoric: Understanding Achievement and Motivation in Catholic School Students,"Bempechat, Janine; Boulay, Beth A.; Piergross, Stephanie C.; Wenk, Kenzie A.",2008
The Effect of Principals' Social Justice Leadership on Teachers' Academic Optimism in Taiwan,"Feng, Feng-I; Chen, Wei-Lin",2019
Metacognitive Strategy Use in Reading of Gifted High Achieving and Gifted Underachieving Middle School Students in New York City,"Berkowitz, Esther; Cicchelli, Terry",2004
"Characteristics, Responsibilities, and Qualities of Urban School Mentors","Guyton, Edith; Hidalgo, Francisco",1995
A University and District ESOL Partnership: Collaboration within the Context of Common Core State Standards Implementation,"Russell, Felice Atesoglu",2018
Parental Efficacy and Role Responsibility for Assisting in Child's Healthful Behaviors,"Ice, Christa L.; Neal, William A.; Cottrell, Lesley",2014
"""It Is As If My Story Repeats Itself."" Life, Language, and Literacy in a Chicago Comunidad","Guerra, Juan C.",1996
Computer Discourse: Classroom Conversations with a Machine,"Emihovich, Catherine",1992
"Repeated School Suspensions: Who Receives Them, What Reasons Are Given, and How Students Fare","Wilkerson, Kimber L.; Afacan, Kemal",2022
To Have and to Have Not: The Socioeconomics of Charter Schools,"Bancroft, Kim",2009
Religion and American Public Education: Conservative Religious Agendas and the U.S. Constitution,"Sorenson, Gail",1996
Youth Violence and Gangs: School Safety Initiatives in Urban and Suburban School Districts,"Huff, C. Ronald; Trump, Kenneth S.",1996
Flexible Grouping and Student Learning in a High-Needs School,"Castle, Sharon; Deniz, Carla Baker; Tortora, Michael",2005
Cooperative Vocational Education in the Urban School: Toward a Systems Approach,"Stone, James R., III",1995
Charter Schools and the Panoptic Effect of Accountability,"Opfer, V. Darleen",2001
Emotional Pedagogy in Blind Students at School and Museum from the Systematic Review,"Llamazares de Prado, José Enrique; Arias Gago, Ana Rosa",2022
What's RITE in St. Louis? Empowering Urban Youth through a Community Tutoring Collaborative,"Cochran, Judith A.; Gardner-Andrews, Anna; Benson, Prescott W.; Durbin, Timothy; Peeler, Michelle",2017
"Diverse Students, High School Factors, and Completion Agenda Goals: An Analysis of the Illinois Class of 2003","Blankenberger, Bob; Lichtenberger, Eric; Witt, M. Allison; Franklin, Doug",2017
Organizational Routines in Flux: A Case Study of Change in Recording and Monitoring Student Attendance,"Conley, Sharon; Enomoto, Ernestine K.",2009
Windows into Diverse Worlds: The Telling and Sharing of Teachers' Life Histories,"Allexsaht-Snider, Martha",1996
A Qualitative Study of Alternatively Certified Teachers,"Stevens, Carla J.; Dial, Micah",1993
Introduction: Toward a New Consensus on High Academic Achievement for All Children,"Skrla, Linda; Scheurich, James Joseph; Johnson, Joseph F., Jr.",2001
A Child's Place: Developing Interagency Collaboration on Behalf of Homeless Children,"Yon, Maria Grace; And Others",1993
"Full-Day, Half-Day, and No Preschool: Effects on Urban Children's First-Grade Reading Achievement","Valenti, Joy E.; Tracey, Diane H.",2009
Determining Curricula and Exam Content in the Advanced Placement Program: Implications for National Standards,"Kelley, Carolyn",1994
Reducing Fear in the Schools: Managing Conflict through Student Problem Solving,"Kenney, Dennis Jay; Watson, T. Steuart",1996
"A ""Feel-Good"" Future: Hopes and Class Identities among Martial Arts Students in China","Dong, Xuan",2019
An Urban University-Based Conflict Resolution Program,"Volpe, Maria R.",1994
Fear-Free Education Zones: Creating Safe Schools in New Jersey,"Conway, Deborah; Verdugo, Richard R.",1999
Organizing Cultural Diversity through the Arts,"Schensul, Jean J.",1990
School Choice and the Achievement Gap,"Jeynes, William H.",2014
"The ""Significantly Worse"" Phenomenon: A Study of Student Achievement in Different Content Areas by School Location","Thirunarayanan, M. O.",2004
"The Political Context of School Desegregation: Equity, School Improvement, and Accountability","Talbert-Johnson, Carolyn",2000
Recasting the Vision for Achieving Equity: A Historical Analysis of Testing and Impediments to Process-Based Accountability,"Walker, T. Anthony",2017
"Politics and School Desegregation before and after ""Parents Involved""","Brown, Frank; Hunter, Richard C.",2009
Afterword: Interpreting the Religious Impulse in American Schooling,"Cibulka, James G.",1996
Between-Year and Within-Year School Mobility: Different Effects by Race/Ethnicity,"Min, Jie",2022
Class Social Situation and Cultural Value Prediction Factors of the Academic Entitlement of College Students,"Hong, Fu-Yuan; Huang, Der-Hsiang; Lin, Min-Pei; Lin, Hung-Yu",2017
Charter-Granting Agencies: The Challenges of Oversight in a Deregulated System,"Hassel, Bryan C.; Vergari, Sandra",1999
Offerings of Women in the Transformation of African Higher Education: A Retrospective Overview,"Potokri, Onoriode Collins; Perumal, Juliet",2019
"Preliminary Exploration of the Relationship between Veteran Family Membership, School Climate, and Adverse Outcomes among School-Aged Youth","Sullivan, Kathrine; Dodge, Jessica; Williamson, Victoria; Alves-Costa, Filipa; Barr, Nicholas; Kintzle, Sara; Fear, Nicola T.; Castro, Carl",2022
Factors Affecting Satisfaction and Retention of African American and European American Teachers in an Urban School District: Implications for Building and Maintaining Teachers Employed in School Districts across the Nation,"Kearney, Janet E.",2008
Career Academies as a Professionally Engaging and Supportive Teaching Experience,"Orr, Margaret Terry",2005
Is a One-Way English Immersion Teaching Approach Equitable to Those Chinese Non-English Major Students from Rural Areas?,"Yao, Chunlin",2022
Catholic Schools: Enduring Presence in Urban America,"Cattaro, Gerald M.",2002
The Memphis Restructuring Initiative: Analysis of Activities and Outcomes that Affect Implementation Success,"Smith, Lana; Ross, Steve; McNelis, Mary; Squires, Martha; Wasson, Rebecca; Maxwell, Sheryl; Weddle, Karen; Nath, Leslie; Grehan, Anna; Buggey, Tom",1998
Sink or Swim? Throw Us a Life Jacket! Novice Alternatively Certified Bilingual and Special Education Teachers Deserve Options,"Casey, Pat; Dunlap, Karen; Brister, Heather; Davidson, Michele; Starrett, Teresa Martin",2013
"Teaching or Service?: The Site-Based Realities of Teach for America Teachers in Poor, Urban Schools","Veltri, Barbara Torre",2008
From Exclusion to Inclusion in Urban Schools: A New Case for Teacher Education Reform,"Pugach, Marleen C.; Seidl, Barbara L.",1995
"Has the Allocation of Certain Teachers Impacted Student Achievement and Upward Economic Mobility? The Case of Forsyth County, NC Elementary Schools","Blizard, Zachary D.",2021
Networking for the Turnaround of a School District: The Boston University--Chelsea Partnership,"Paletta, Angelo; Candal, Cara Stillings; Vidoni, Daniele",2009
Immigrant Pupils and Intercultural Teaching Competencies,"Batanero, José María Fernández; Hernández Fernández, Antonio; Colmenero Ruiz, María Jesús",2021
From Being Figured to Figuring the World: Identity Work in Young Girls' Aspirations,"Mani, Reema",2022
Overlapping Student Environments: An Examination of the Homeschool Connection and Its Impact on Achievement,"Garas-York, Keli",2010
A Comparison of IHEs and Non-IHEs as Anchor Institutions and Lead Agents of Promise Neighborhoods Projects,"Impellizeri, Whitney; Lee, Vera J.",2022
The Tensions of University-City Relations in the Knowledge Society,"Liu, Cui",2019
African Americans and Multicultural Education: A Proposed Remedy for Disproportionate Special Education Placement and Underinclusion in Gifted Education,"Harris, J. John, III; Brown, Elinor L.; Ford, Donna Y.; Richardson, Jeanita W.",2004
Brown at 50: The Dream Is Still Alive in Urban Catholic Schools,"Ilg, Timothy J.; Massucci, Joseph D.; Cattaro, Gerald M.",2004
Unheard and Unseen: How Housing Insecure African American Adolescents Experience the Education System,"Ellis, Addie Lucille; Geller, Kathy D.",2016
Urban Bilingual Teachers and Mentoring for the Future,"Torres-Guzman, Maria E.; Goodwin, A. Lin",1995
An Urban School Network's Resistance to a Competition Policy: Defending Communitarian Accountability in England,"Vann, Barbara J.",1998
"Democracy (In)Action: A Critical Policy Analysis of New York City Public School Closings by Teachers, Students, Administrators, and Community Members","Kretchmar, Kerry",2014
Alternative Certification Minority Teachers and Urban Education,"Shen, Jianping",1998
Who Owns Culture?,"Carroll, Thomas G.",1990
"An Evaluation, Assortment, and Optimization of the Question Items","Ali, Ikram; Haral, Muhammad Nouman; Tahira, Fatima; Ali, Mirza; Imran, Aqeel",2020
"School Choice and Segregation: ""Tracking"" Racial Equity in Magnet Schools","Davis, Tomeka M.",2014
Effectiveness of School Choice: The Milwaukee Experiment,"Greene, Jay P.; Peterson, Paul E.; Du, Jiangtao",1999
The Micropolitical Orientation of Teachers toward Closed School Principals,"Blase, Joseph J.",1991
Increasing Meta-Cognitive Competence through Conflict Resolution,"Heydenberk, Roberta; Heydenberk, Warren",2005
"Classroom Environment, Teacher, and Girl Students' Learning Skills","Shoaib, Muhammad; Ullah, Hazir",2021
Morale of Teachers in High Poverty Schools: A Post-NCLB Mixed Methods Analysis,"Byrd-Blake, Marie; Afolayan, Michael O.; Hunt, John W.; Fabunmi, Martins; Pryor, Brandt W.; Leander, Robert",2010
Weapon Carrying by Youth: Risk Factors and Prevention,"Kingery, Paul M.; Coggeshall, Mark B.; Alford, Aaron A.",1999
A Comparison of Instructional Contexts in Writing Process Classrooms with Latino Children,"Gutierrez, Kris D.",1992
The Charter School Allure: Can Traditional Schools Measure up?,"May, Judy Jackson",2006
The Historic Separation of Schools from City Politics,"Menefee-Libey, David; Diehl, Benjamin; Lipsitz, Keena; Rahimtoola, Nadia",1997
From the Beginning: Creating a Diversity and Multicultural Education Course at Jacksonville State University,"Rubin, Daniel Ian",2018
Choices for Whom? The Rhetoric and Reality of the Direct Subsidy Scheme in Hong Kong (1988-2006),"Tse, Thomas Kwan-choi",2008
Ongoing Principal Development: The Route to Restructuring Urban Schools,"Fredericks, Janet",1992
African American Male Achievement: Using a Tenet of Critical Theory to Explain the African American Male Achievement Disparity,"Palmer, Robert T.; Maramba, Dina C.",2011
The College Departure Process among the Academic Elite,"Hermanowicz, Joseph C.",2004
Characteristics of Urban Principalship: A National Trend Study,"Shen, Jianping; Rodriguez-Camps, Liliana; Rincones-Gomez, Rigoberto",2000
Without a Paddle: Barriers to School Enrollment Procedures for Immigrant Students and Families,"Evans, Kerri; Perez-Aponte, Jaime; McRoy, Ruth",2020
Three-Level Hierarchical Linear Modeling Analyses of the Relationship between Political Culture and Teacher Autonomy,"Li, Da; Allen, Ann",2021
The Life and Death of Desegregation Policy in Wake County Public School System and Charlotte-Mecklenburg Schools,"Williams, Sheneka M.; Houck, Eric A.",2013
Teacher Multicultural Attitudes: Intern/Teaching Fellows in New York City,"Cicchelli, Terry; Cho, Su-Je",2007
Positioning Urban Teachers as Effective: Their Discourse on Students,"Sosa, Teresa; Gomez, Kimberley",2012
The Role of Historically Black Colleges in Facilitating Resilience among African-American Students,"Garibaldi, Antoine M.",1991
Explanatory Factors of the Black Achievement Gap in Montreal's Public and Private Schools: A Multivariate Analysis,"Caldas, Stephen J.; Bernier, Sylvain; Marceau, Richard",2009
The Transformative Potential of Teacher Care as Described by Students in a Higher Education Access Initiative,"Foster, Karen C.",2008
Success for All: Improving the Quality of Implementation of Whole-School Change through the Use of a National Reform Network,"Cooper, Robert; Slavin, Robert E.; Madden, Nancy A.",1998
Bouncing Back: Sports and Academic Resilience among African-American Males,"Braddock, Jomills Henry, II; And Others",1991
The Mayor Versus The School Superintendent: Political Incursions Into Metropolitan School Politics,"Hunter, Richard C.",1997
"Theoretical Review of the Creativity, the Key Factor in Education with Visual Impairment","Llamazares de Prado, Jose Enrique; Arias Gago, Ana Rosa; Melcon Alvarez, Maria Antonia",2021
Immigration and Pluralism in Urban Catholic Schools,"Cattaro, Gerald M.",2002
The Crisis in Adult Basic Education,"Amstutz, Donna; Sheared, Vanessa",2000
